,tracklet_duration,set_id,video_1,video_2
86,136.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
87,37.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
88,77.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
89,722.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
90,1751.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
91,39.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
92,1957.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
93,321.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
94,347.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
95,368.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
96,110.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
97,375.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
98,23.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
99,91.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
100,78.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
101,682.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
102,145.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
103,57.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
104,308.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
105,5.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
106,32.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
107,386.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
108,120.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
109,62.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
110,3398.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
111,486.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
112,951.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
113,2395.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
114,1365.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
115,504.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
116,3258.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
117,239.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
118,115.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
119,59.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
120,123.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
121,1002.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
122,636.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
123,14.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
124,194.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
125,295.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
126,25.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
127,765.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
128,129.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
0,4848.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
1,2374.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
2,1745.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
3,751.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
4,146.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
5,339.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
6,268.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
7,237.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
8,1065.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
9,115.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
10,755.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
11,57.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
12,129.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
13,1054.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
14,1798.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
15,354.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
16,1439.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
17,851.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
18,219.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
19,368.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
20,69.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
21,1211.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
22,715.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
23,34.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
24,414.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
25,1137.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
26,968.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
27,720.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
28,322.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
29,2036.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
30,385.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
31,2394.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
32,163.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
33,121.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
34,436.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
35,20.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
36,866.0,Set 2,20230313_SE_Lek1_P2D3_DJI_0310,20230313_SE_Lek1_P3D5_DJI_0573
